"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"70988"	0	1	0	0	0	3	0	0	0	0	0	0	0	0
"266744"	0	1	0	0	0	4	0	0	0	0	0	0	0	0
"74708"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"226957"	0	16	0	4	0	10	0	2	0	0	1	1	0	6
"624262"	39	21	14	25	32	47	49	19	39	6	50	3	30	19
"170771"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"408192"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"408191"	0	0	2	0	1	0	2	1	0	1	0	2	0	0
"19076"	579	430	622	563	447	495	803	700	626	573	949	149	595	584
"67503"	5	1	2	3	1	7	7	9	4	4	4	0	6	8
"19335"	84	126	139	286	82	105	165	426	164	115	491	37	189	334
"213539"	474	514	447	870	499	539	690	1617	555	420	947	124	523	670
"98403"	488	466	528	795	429	444	606	1595	601	557	666	142	660	675
"433287"	182	140	150	185	134	172	223	229	216	136	236	10	180	136
"320705"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"13518"	1263	4437	528	2231	854	2313	632	3070	1530	788	1502	1052	2539	2376
"100628580"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"69668"	595	394	521	480	538	592	579	1360	496	440	427	133	415	488
"27993"	1161	925	832	1509	828	1181	1283	2594	1146	606	1909	185	1334	1651
"52318"	429	431	298	766	312	394	493	1437	457	265	542	53	491	568
"19253"	824	751	627	721	593	882	1097	1116	748	584	709	132	988	937
"21755"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"12627"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21756"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"211383"	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"241051"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"226970"	71	23	54	33	46	23	106	34	30	16	45	1	22	45
"214469"	3463	3599	2692	3711	2625	3858	4731	4909	4438	2487	4908	450	4795	4166
"226971"	5404	10026	3301	5121	4108	8779	6794	5769	7602	3740	4063	969	8474	6601
"50785"	1878	2659	1430	2217	1599	2223	2230	3595	2112	1115	2461	340	2543	2116
"320011"	3617	4985	3479	4887	2699	5147	4636	9625	5398	4324	5782	1028	6155	4660
"214854"	3010	4928	1086	2674	2140	4001	2191	3088	2896	1018	3054	740	3748	3710
"214855"	23	51	33	105	16	148	40	266	40	27	48	12	191	126
"226976"	1325	1131	977	1161	971	1518	1805	1858	1444	879	1323	194	1715	1377
"214895"	191	251	171	270	193	278	318	336	268	168	403	27	318	316
"94220"	1429	3175	843	1974	1204	3964	1503	2385	2673	1090	2579	518	3232	2354
"94218"	443	292	331	548	301	420	609	794	462	258	651	40	614	435
"78321"	63	54	51	36	42	47	68	70	56	43	67	4	76	52
"109346"	97	55	44	75	53	75	112	89	112	33	160	6	141	107
"20353"	216	80	149	199	178	145	348	311	376	120	511	10	646	246
"381337"	2	0	0	1	1	1	2	2	4	1	2	0	8	0
"12859"	2542	2185	1482	1332	2004	1968	2909	1617	1950	1083	1867	452	1865	1789
"226977"	1765	1764	1021	1713	1320	2129	2043	2001	1817	848	2120	257	2464	1988
"71166"	1	0	0	2	0	0	2	5	0	1	0	0	2	0
"22637"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
